property_area_sqft,bedrooms,bathrooms,floors,year_built,property_age,renovation_status,lot_size,distance_city_center_km,neighborhood_quality_score,crime_rate_index,nearby_school_rating,hospital_proximity_km,shopping_center_proximity_km,public_transport_score,parking_availability,property_type,construction_quality_rating,energy_efficiency_score,water_supply_reliability,electricity_supply_reliability,internet_availability_score,green_space_index,flood_risk_index,noise_pollution_level,sale_price
1060,3,1.0,1,1976,49,0,4224,11.372133044579172,5,2.755816982837523,8.953498442437539,1.6512347800884632,1.555348476678626,1.333973068779859,1,TwnhsE,5,4.417845685606057,7.897507503499963,6.295936764059425,6.2950796075075415,5.941392725625068,1.8166806265688265,3.393485897317185,129900
1060,3,1.0,1,1968,57,1,8246,11.455573263215308,5,4.125858523437364,2.912748676452904,6.762710615050583,0.6597951362585406,2.045521589946743,1,1Fam,5,3.592939086415765,9.77884897447161,5.5744686781019475,4.782554010026304,6.499416320310007,4.710923783204393,2.5869127300622137,154000
1600,3,2.0,1,2007,18,0,14230,16.828455826461536,8,7.368247463622985,9.07377680593805,3.508807057531433,0.8891869111546666,7.069994593723217,1,1Fam,8,8.307741345953318,9.713789401177383,5.320554482633462,9.385681222224807,3.9539251541978366,2.954700063058837,2.9758020377153147,256300
900,3,1.0,1,1951,74,1,7200,16.716878927641734,5,1.4804484793993407,9.913304860830161,6.57003547458235,4.125990395004096,3.2905355394538724,1,1Fam,5,3.443901116442517,6.555698592049376,4.71576272527331,1.788520030134006,5.383814709133039,5.8264290179927185,2.6635603405344357,134800
1704,3,2.0,1,2007,18,1,11478,9.29643758392768,8,5.8339128424353595,2.5263417268782007,3.847879294505907,3.913439332012366,5.6160176529382175,1,1Fam,8,9.584327247004367,4.32200550779818,6.326182255651387,8.156045252773964,8.952045554380764,6.3863365063757405,1.897969600882048,306000
1600,2,1.0,1,1957,68,1,16321,15.6587989325611,5,7.7474292163758385,6.315508845826384,5.97541618610872,6.685822115512634,2.724112861499499,1,1Fam,5,5.111105577933417,7.146299401974924,1.8663157973901519,8.73481346712584,6.654152783753637,5.432858059441611,1.242876988762362,207500
520,1,1.0,1,1927,98,1,6324,9.47476284550558,4,6.480603184260282,9.831654192797675,6.977136548209295,6.601328630795417,3.126567782236253,1,1Fam,4,3.4017726812259834,1.5115612914643566,2.554638943759721,1.5812791962946608,9.75006068381899,2.7418471807540388,1.6784514838706706,68500
1317,3,1.0,2,1920,105,1,8500,2.332023451484744,4,8.479794876355378,6.953165344028137,9.50707154183075,6.361468724897034,7.814956999345333,1,1Fam,4,3.0196816943713842,7.143031536047178,4.118365122047386,4.26876293026969,8.574383322502985,9.241741868493321,3.5131974948861164,40000
1228,3,1.5,1,1966,59,1,8544,10.232748982928584,5,2.2797043126589625,2.306676634514087,3.0737004957511336,1.4467319203554707,4.203506317938107,1,1Fam,5,6.439893076557868,7.569861596479612,1.9623706983251674,3.814970881885394,5.792149987712985,9.739338190628654,3.596719363159457,149350
1234,3,2.0,1,2007,18,0,11049,1.8948267593952677,8,3.903093353552065,8.713387505970653,0.9368474346195583,4.9782867082446565,9.54507375910349,1,1Fam,8,2.2588065579963272,4.3927871564354,3.821814599287427,8.351439736136774,5.4576964230271905,8.130558885057882,1.4505031692637131,179900
1700,4,1.5,1,1959,66,0,10552,6.261191186753875,5,3.6812268789658154,8.047489482565013,1.3568658532926594,5.659796530089448,5.104071731071347,1,1Fam,5,8.20936549684222,7.462089335200887,3.308077883733586,5.69231441326624,5.371488490420861,8.083804507393015,6.084606280018536,165500
1561,2,2.0,1,2005,20,0,7313,5.689696107330992,9,2.9932875707737767,5.267357529587946,3.6952546705001144,4.350302244600103,9.969551193291906,1,TwnhsE,9,4.567074759043786,4.0985333084096345,5.8149098339966505,5.544455278239967,1.3404867526221067,1.9673476569260924,5.750451202586931,277500
2452,4,3.5,2,2004,21,1,13418,10.623929129334357,8,7.029385254491812,2.9499539028230464,3.706416246505226,3.658584915982122,6.5091018634603035,1,1Fam,8,4.274961394718153,9.990308728179766,6.275204318542449,8.90867882283767,7.460878232392975,1.3031857537388323,2.900660104105489,309000
1097,3,1.5,1,1994,31,1,10859,10.588177968491054,5,9.055053530959407,5.696843669939275,3.828379310987604,1.327370851783232,7.723527202645851,1,1Fam,5,9.641277560664854,1.56415856880164,9.416012817078142,3.5489121217088675,4.154909102766488,7.289515426975837,4.747004597316983,145000
1297,3,1.0,1,1954,71,1,8532,3.1351313361687287,5,3.5225386724593912,8.406786877568882,4.775177521919784,1.2171148589349,5.85345259930655,1,1Fam,5,6.102235482856487,8.662471444364312,5.5373449823902865,4.513542053960233,1.2241000033689324,4.7432681704389,8.258203143661529,153000
1057,3,1.0,1,1953,72,1,7922,6.961687115592314,5,4.952945033386424,1.05716741275692,6.015020296889813,4.46964891994134,5.297490645304077,1,1Fam,5,8.365272274255677,1.6307130453932388,6.825830182470461,5.853281113297467,6.61188738331299,7.887017636162025,2.6281102257823163,109000
1152,2,2.0,1,1955,70,0,6040,9.711243635910485,4,4.893819637360005,9.341356128264769,7.882178405645967,5.684595430368576,6.582454428614218,0,Duplex,4,1.635051190475314,2.044456724260581,2.709172893666203,4.207708990101724,9.162801871018278,6.0853110863597575,9.718909683233708,82000
1324,3,2.0,1,1965,60,0,8658,3.6392863351866813,6,6.208096305526762,6.402522398597453,2.041245352559033,1.9418000647074092,4.1127127664551475,1,1Fam,6,9.721308434984039,6.140140098990327,7.5566072492916625,9.37376303267658,2.285846679284245,1.2606549627518615,9.943847897111377,160000
1328,2,1.5,1,1959,66,0,16905,15.150954832360997,5,2.055426169753341,7.274760470929307,7.981289000156748,3.417406573227549,6.820879876992081,1,1Fam,5,1.889673239791546,6.483812102863131,2.355738809236567,1.7217290326814967,9.497547312397709,5.378547066785382,9.979429959574585,170000
884,2,1.0,1,1983,42,0,9180,8.379095235361362,5,7.323718989867843,2.375759956740433,3.1705854444482986,4.585575253307818,6.07713241501593,1,1Fam,5,4.208133173821258,6.855862806994736,4.304995006870455,2.270405590872948,3.237483686677219,8.540300295287926,9.267322465698534,144000
938,3,1.0,1,1975,50,1,9200,9.247155871497357,5,3.832435747434412,3.9306503619603994,0.8088498698353759,3.4007449390670557,7.213433469767634,1,1Fam,5,2.939771810316224,9.569484252974434,1.0768070764562645,8.565451364717218,7.192081330689022,3.010335935234032,4.273684525681194,130250
1150,3,1.0,1,1959,66,0,7945,13.049890112280004,5,8.095094936170314,9.629452534024809,4.886988327013026,3.3143427335185174,2.9785441922734703,1,1Fam,5,6.231013093823152,4.021751073064692,5.09057888449228,4.49142932338037,4.192229802813616,8.508781955902293,3.920239645772519,141000
1752,2,2.0,1,2005,20,0,7658,6.333709360743092,9,7.190686618534697,3.832908695219913,8.781762614620177,2.272857285339582,5.204835793959043,1,TwnhsE,9,8.934803828768683,6.912489967773935,4.878468059622654,3.7614193222030017,4.737183978730559,1.9766871894354816,5.859869742919706,319900
2149,1,1.5,2,2003,22,0,12822,18.53954563517852,7,7.579338484668942,8.587861216826113,5.921693798465714,7.313233950290852,9.177830182461452,1,1Fam,7,3.268760938959612,4.633958936287299,3.026990979365926,4.644572559424919,6.218312336414175,7.00570317444088,3.0362026249849117,239686
1656,3,2.0,1,2006,19,0,11096,14.440981394010686,8,4.278263371401641,9.018392178515889,5.0652957995290375,0.9139216035814824,3.756626845274707,1,1Fam,8,3.015430111235581,3.3637136333251862,1.7210766265982937,3.864378696058515,1.965597508090703,1.048817402655985,1.6843333405121537,249700
1452,2,2.0,2,1920,105,1,4456,8.132049042261027,4,7.734864948156994,5.435578362448393,7.902554164344564,3.8171625811360093,7.922269852052023,0,2fmCon,4,8.487179415233786,5.976498021513304,3.1086208950054597,1.1380828493759876,4.032203042672708,7.197040553331231,5.418164838729681,113000
955,3,1.0,1,1966,59,0,7742,6.9623573500203815,5,8.306911607224169,6.60631443843011,6.30220542777354,1.5015499335578566,7.697522914034769,1,1Fam,5,1.8515835667613425,2.8409738400499323,2.3779792983667374,9.573233310431597,4.418199396065361,7.322440875055627,5.485719291818392,127000
1470,3,2.0,2,1997,28,0,13869,12.80122653719577,6,6.3006168372983895,3.668248579958194,4.138286932450596,6.3848428333779585,3.6141200286761817,1,1Fam,6,3.7934985789080202,6.772701121188789,5.55505749660049,3.966077652094405,6.459855458267539,8.91886711930292,4.001190902359741,177000
1176,3,1.0,1,1934,91,1,6240,10.12140887584546,6,2.043334855975923,2.3363963073368756,6.793653053989544,0.7852574326420271,6.114635890256181,1,1Fam,6,6.892673087808911,5.90968816076596,3.462364821291869,8.290874031487276,6.191662307100776,5.443811270129304,1.8044680436826073,114500
816,2,1.0,1,1963,62,0,8472,5.044970757487469,5,1.6952957563713043,6.839526553770095,3.8740928254358646,5.014743732345948,5.409093345239949,1,Duplex,5,9.251599003594988,3.1912506556348963,8.787344454886759,6.092522017870427,1.4881237101034817,6.271321886685372,7.211905948171507,110000
1842,0,0.5,1,1981,44,1,50271,14.026641437793566,9,2.305557163701591,7.353720108766947,1.2946956314437905,2.562748206683565,9.497160912868818,1,1Fam,9,4.510698663275516,5.856801040542854,7.143357785759433,5.256781445577586,9.307030071306132,8.313531515537434,2.3046403669760354,385000
1360,3,1.0,1,1955,70,0,7134,9.871904591095294,5,5.107074224189008,3.4949892772619657,6.583989524492361,2.307010530059662,7.511213713413505,1,1Fam,5,6.710582041524361,1.6435475770405423,3.2624880296301186,9.411396260498064,9.312321575535176,1.2575918287682608,1.5439195219214645,130000
1425,3,2.0,1,1964,61,0,10175,2.9863677524831758,6,6.603343031206287,9.334020765495225,2.790117757413705,2.2725323356656357,9.871202708755037,1,1Fam,6,3.882563997469218,8.871236545814035,7.8850370976944655,4.10213178987536,5.643824843149747,9.51107949055248,5.884019475458503,180500
1739,3,2.5,2,1999,26,1,2645,18.36614226520706,8,2.5734982820474923,6.8908526105635834,5.452681785930934,5.701763746527049,3.779854186633612,1,Twnhs,8,3.1830596910489772,8.158592844489853,2.0659527604512635,2.1699863239559996,1.9818227268426978,1.5846224189084177,2.8813705259300475,172500
1720,3,2.5,2,2004,21,0,11645,12.162902660123782,7,3.3062364566237026,5.409059073176663,4.53559457423835,6.5929601201411,8.040942464610499,1,1Fam,7,3.0287640607336606,4.378437375957546,8.000989008801426,5.091744727789969,3.223370263445346,4.180924700782884,7.277864221068622,196500
2945,3,3.5,2,2006,19,0,13682,5.283134376830005,10,2.0175942168089316,2.5836980421672076,5.493950144501051,2.306143321926696,8.609141771061132,1,1Fam,10,4.164814253024362,7.228398718109148,9.885340737521274,4.785078051430301,2.2698825149816777,2.1777212693334302,1.5499831274940257,438780
780,2,1.0,1,1972,53,0,7200,8.537342415931969,5,9.551706787307287,1.536823219286497,8.764941410800558,0.7789900619921326,3.0621583762535622,1,1Fam,5,4.762341115128564,7.591406315335468,7.422145194433886,5.079084746641843,6.407451232740199,4.219918363662073,6.063839006751747,124900
1158,3,1.5,1,2004,21,0,13072,6.1020021682151935,6,5.7576320946850394,7.935509418540672,0.5032180783061487,5.5188656002310035,2.7740595094882474,1,1Fam,6,2.0966312035573247,1.3122283608209426,3.000719609604947,7.205678060951811,9.643052552445955,5.593432984974606,7.353897007308118,158000
1111,3,1.0,2,1920,105,1,7200,18.032846172967307,5,8.724423732080197,5.238391811655453,5.98690865781328,4.8565042478723175,2.229981130640213,1,1Fam,5,4.931669648310168,4.82654609986621,1.8800636778397808,6.671250115222126,8.851219098652614,7.384165982695516,9.219901772987736,101000
1370,2,2.0,1,2006,19,0,6442,5.651209851325419,8,1.2018175730471465,8.438316190351067,1.6806559578077829,1.165305517931353,4.473223837746822,1,TwnhsE,8,6.329996333075529,5.154006878965695,8.841373046380703,1.6248785410912103,7.939895988455999,5.294066596166014,6.732698338083921,202500
1710,3,2.0,2,1921,104,1,10300,10.749935515961832,7,3.699813853766504,3.370190248923015,0.6502393344091919,6.052798733962095,7.32480349429761,1,1Fam,7,1.5719326727177898,9.422078364143124,1.2957259487125325,2.069853911011477,6.610887127284028,9.481535142547466,5.08334512458011,140000
2034,3,2.5,2,1997,28,1,9375,17.729520078638256,7,3.8151149860820324,6.504758699611182,4.76972950363425,6.3183548404102545,7.47151748575578,1,1Fam,7,7.055077297730214,1.740220259077003,9.672063530586623,3.2660840605234918,3.9231622142707483,8.699557504897687,4.149089233795879,219500
2473,4,2.5,2,2004,21,1,9591,18.59248771618298,8,5.758278450251998,6.2211758047246155,9.890914988687497,2.887157601699716,8.19342635403973,1,1Fam,8,4.783202562977124,2.4566340951434786,5.116408526485329,8.814614677360709,3.9217747319997085,6.326183828976132,8.529248038428538,317000
2207,3,2.0,1,1970,55,1,19900,11.89458617415348,7,8.66916715508696,8.17681078990962,4.476320668913985,1.6037734401622563,8.287202964864685,1,1Fam,7,5.5555284169763155,4.064655731206281,3.2145015326999613,1.0784884927534741,2.047902374966182,2.1860498959398775,8.752353397362501,180000
1479,3,2.0,1,2003,22,0,10665,6.796491714428548,7,5.20012117316574,3.281857323954372,2.0071260727885156,7.080646922839012,7.128407256279702,1,1Fam,7,1.9274695841073055,1.498470358892395,9.40189870888523,7.172072307327019,9.917256773860368,6.811998287124917,8.101524828630993,226000
747,2,1.0,1,1945,80,1,4608,15.370910659393417,4,9.433673390847304,7.7253310700583055,8.160178790563112,5.8311977538407564,6.436888051809227,1,1Fam,4,7.370343913131599,8.162886618241595,8.368450334556151,9.064355245310283,5.3902817558181155,7.614452378474943,9.543737427135683,80000
2287,3,2.0,2,1953,72,0,15593,16.994076286344693,7,4.26345569540508,1.0143499259419935,3.8022337057879834,3.6313299581323433,8.794348897039798,1,1Fam,7,2.6760036936161216,4.910108232946477,4.054061246639006,1.7799235984522328,3.879077194887559,6.12312409877513,7.688429110786736,225000
2223,3,2.0,1,1973,52,0,13651,7.448287311987333,7,3.1607772792963478,2.3321711769690454,8.075726264321009,3.120897063170803,7.9973611488954734,1,1Fam,7,6.857961179050413,4.445065574563843,9.493235422928688,5.574756568553792,6.214187024387735,3.4386985544075515,9.186834629107691,244000
845,2,1.0,1,1982,43,1,7599,3.2463435511889416,4,9.399375910253399,3.787656341955415,6.648880950579676,1.3314262154895593,1.2894559631510538,1,1Fam,4,8.659046944232024,6.123393623359112,6.982062667459633,8.579658568511263,7.442943201474051,2.718465100321716,9.630102306748805,129500
1718,3,2.5,2,1998,27,0,10141,10.19365069320612,7,9.531935016149884,7.388888578115042,9.452787729956013,4.255397409008747,7.327687581316557,1,1Fam,7,2.946927749289292,5.087898332386931,6.939571979967359,1.5342197056634954,7.783664434993685,4.483297381130507,4.357070304788664,185000
1086,3,1.0,1,1954,71,1,10200,17.59936837996092,5,7.153937558629247,6.9564141081354425,2.9598432476827,6.190873095531281,1.161119548312599,1,1Fam,5,5.491438989651602,1.2596950107495979,8.101774075539934,7.15262774780542,7.893553221203458,5.751760486932522,7.531344379805482,144900
1605,3,2.0,2,1915,110,1,5790,2.755108403731144,3,7.453053270842408,9.973625254943578,1.4766393810880307,4.888251628464632,2.9226956283970535,1,1Fam,3,2.303726321946837,8.794410509086633,5.95341298080746,9.593364734914388,6.303852092984554,3.1089180882593404,8.93787330017177,107400
988,2,1.0,2,1973,52,0,1596,6.839525525159622,4,4.747499126005478,7.689499495911096,8.774707793859877,5.978803433028598,4.193541602306435,1,Twnhs,4,5.787741015471633,4.6345642971854355,7.8446259828432945,2.0307525440740526,2.2831676816773543,4.076532385666854,3.411219305393262,91000
952,2,1.0,1,1956,69,0,8475,3.6026897638773074,4,9.284127895444335,6.055712067629333,9.835433255663824,7.537463915066612,2.305693859797576,1,1Fam,4,9.383642767472221,1.0698471384291877,5.139630682456434,8.315032530359453,1.9035136559752033,2.0439939789908275,3.534980702584272,135750
1285,2,1.0,2,1948,77,1,8635,18.382456034142795,5,1.6390807643032768,3.8402076608457234,8.016788156247483,1.382894105595117,7.591725907997215,1,1Fam,5,6.422867736265094,1.1383655470475285,1.890463327017447,3.6643931170504547,6.417541908203445,4.388030694463754,9.20033172649825,127000
1768,4,2.0,1,1968,57,0,10778,8.066509654615892,4,9.104150349314887,5.89927870442031,4.375998284899797,3.7951575946319442,8.662609897243962,0,Duplex,4,1.6071084841684513,9.434726766056098,2.6359404313753156,5.610945302864826,8.90882680216705,3.563227757661131,1.216907662524497,136500
1230,2,1.5,2,1910,115,1,10440,6.904839584664944,5,3.3909837282096493,8.937025733889934,3.3581631771515448,5.381361510318605,3.815755674613836,1,1Fam,5,9.357850195768524,2.0844638865190848,3.1811634109170623,4.259542870605643,2.4650215078017887,4.778452341369288,6.805298841999209,110000
2142,4,2.5,2,1968,57,0,13000,19.472365954066493,6,9.757109903112017,6.644157589932996,3.765669232182002,4.067699611998764,4.132732191087329,1,1Fam,6,9.075173502921931,7.003282607357943,5.810360980840384,1.1006336668847885,8.342837369858772,7.715440823578174,2.038812856669156,193500
1337,2,2.0,1,1998,27,0,4500,3.261056134233862,6,4.066421745928103,1.1596873327512323,2.5869949370556973,1.1204422283036706,7.728159803339741,1,TwnhsE,6,3.0543139552229652,8.985157876861845,7.251761972745529,9.371884215452651,3.3773247713902186,4.941631389447189,2.0636179998582542,153500
1563,3,2.0,1,2007,18,0,10206,14.695242496049575,8,4.730002427339786,1.260888642179923,3.235157862071398,4.5643426215530605,6.508137694475942,1,1Fam,8,2.350496116512897,4.131126536998193,6.557193014650986,9.641545128415025,5.702884678691724,5.209005029814016,2.9568607023458475,245000
1065,3,1.5,1,1960,65,0,8892,9.896669983235684,5,3.877126896357251,4.40235467553176,5.6798724262706655,2.3941504294359,2.8518341520107766,1,1Fam,5,4.270850648307304,6.044221317646451,9.177013592215882,1.762960643749386,1.535831763052593,7.77069291891784,9.333120441739291,126500
1474,3,2.5,2,1995,30,1,8530,16.64478205557411,7,5.802576035779788,9.55412172160114,2.192171232331289,2.9534243368457966,8.549013728486145,1,1Fam,7,2.147024203025423,4.415143598964636,4.393781583938452,2.862675356217383,2.097560719219684,5.299629087560152,8.938603576459624,168500
2417,4,2.5,2,1991,34,1,16059,12.038021366349275,8,7.307100689762758,5.872128277821934,3.4491367900805,1.261120088860944,2.411463520806777,1,1Fam,8,3.435022680594784,9.83652086683821,2.6697133418630568,4.299492445465842,7.612716170988866,6.601162194440235,6.4351632770115765,260000
1560,3,2.5,2,2005,20,0,11911,13.902252043451824,6,1.6491373119201853,4.463988806383362,7.021508612241922,5.052542976305977,9.375461942924169,1,1Fam,6,7.67503720149253,5.62808909600023,8.101778016589794,5.442329718592371,6.625400480053971,5.4681599091094135,7.523581576648678,174000
1224,2,2.5,2,2009,16,0,3951,15.0522053475256,6,3.4704824566669203,9.223299475669375,3.71443926873972,2.123961309244244,7.102296682560865,1,TwnhsE,6,3.3638252339384698,5.75791496816793,5.486965074865459,2.101027624711486,7.200419627844453,7.609683412062307,7.812631980101427,164500
1526,2,1.0,1,1915,110,1,8470,6.77106689499669,3,8.25698590881216,6.4853990923910985,5.290675707363103,3.1718625071526905,1.2632026718680955,0,1Fam,3,8.664347602457234,4.318621087818446,5.292267588767422,9.600361451736985,8.103150383637649,5.686387166837244,3.5496588084147143,85000
990,3,1.0,1,1994,31,1,8070,3.12573097641619,4,9.291615818518567,1.6686931140606276,7.068409958604857,0.833736143576697,4.912625402210547,0,1Fam,4,8.141695110172442,1.846708978376065,3.599380074010956,8.46574787981923,5.119844795950155,4.496867707714584,4.670347239584549,123600
1040,2,1.0,1,1950,75,0,7200,1.8905230874434262,4,1.3602632571730213,6.231434999135435,1.3595312744823882,5.358024505186518,1.664109466646122,1,1Fam,4,8.241018175087113,2.122582596028919,7.500134388762859,6.9951466525665404,8.519363564748081,2.840723331381641,3.0037656616421597,109900
1235,2,1.0,1,1961,64,0,8500,16.348394466412813,5,3.0891111050089117,7.716208491995766,7.3801991947143275,2.8619379742465263,4.9644023635438295,1,1Fam,5,9.370345301175824,5.555843285898629,4.476522464189619,9.2204016123116,5.751878336636244,5.87316447163681,4.9497779676077265,98600
964,2,1.0,1,1921,104,1,13360,14.891105411186459,5,9.857582101037984,4.6971301840692945,6.366483505029663,2.532827169858726,4.57314170421207,1,1Fam,5,9.795532610409833,1.0659017524410652,8.159264547033654,4.898940143809078,3.8002695436877167,6.850428305802025,8.288169031924324,163500
2291,4,2.0,2,1910,115,1,7200,4.457776265389786,6,3.7204857290342437,3.471314224308451,0.8131846519467554,1.6105495791042879,7.348266979356474,1,2fmCon,6,8.720296635330254,7.23307768758743,5.296647768078095,4.792604024018697,1.44716137716873,8.249450397778588,2.662768549752109,133900
1786,3,2.5,2,1997,28,0,9337,15.627947818201358,6,2.349846409038617,8.700354168225473,9.531127739958729,0.7194046239617444,6.611679755840177,1,1Fam,6,5.012485983870716,2.5187969879637424,5.107406736116745,9.085648048826748,6.8603250772069355,1.1703942209503204,2.963982154670904,204750
